,w,s,n,$L(\mu H)$,$R_L(\Omega)$
200,0.1,0.5,13.0,6.965745324590081,0.0002843657142857143
201,0.1,0.5,14.0,7.447672292266762,0.00026050285714285715
202,0.1,0.5,15.0,7.876496418175889,0.00023664000000000004
203,0.1,0.5,16.0,8.248422527931965,0.00021277714285714288
204,0.1,0.5,17.0,8.560571933568696,0.00018891428571428571
205,0.1,0.5,18.0,8.810921031677482,0.0001650514285714286
206,0.1,0.5,19.0,8.99824589177384,0.00014118857142857144
207,0.1,0.5,20.0,9.122071533815285,0.00011732571428571434
208,0.1,0.5,21.0,9.182624898560483,9.346285714285723e-05
209,0.1,0.5,22.0,9.180790730044366,6.960000000000007e-05
210,0.1,0.5,23.0,9.11806974416412,4.57371428571429e-05
211,0.1,0.5,24.0,8.996538569422611,2.187428571428574e-05
212,0.1,0.6,1.0,0.13994386538051792,0.0005667428571428571
213,0.1,0.6,2.0,0.45377647143305117,0.0005389028571428571
214,0.1,0.6,3.0,0.8804961314451897,0.0005110628571428571
215,0.1,0.6,4.0,1.3833083822280983,0.00048322285714285713
216,0.1,0.6,5.0,1.9343892597680041,0.0004553828571428571
217,0.1,0.6,6.0,2.511309283598957,0.0004275428571428571
218,0.1,0.6,7.0,3.095488464519726,0.00039970285714285717
219,0.1,0.6,8.0,3.671357054629573,0.00037186285714285716
220,0.1,0.6,9.0,4.225833734514667,0.00034402285714285716
221,0.1,0.6,10.0,4.747970033637498,0.00031618285714285716
222,0.1,0.6,11.0,5.228691183875902,0.00028834285714285715
223,0.1,0.6,12.0,5.660597202495237,0.00026050285714285715
224,0.1,0.6,13.0,6.037803740927064,0.00023266285714285714
225,0.1,0.6,14.0,6.355810335010049,0.0002048228571428572
226,0.1,0.6,15.0,6.611388173302091,0.0001769828571428572
227,0.1,0.6,16.0,6.802482126444989,0.00014914285714285718
228,0.1,0.6,17.0,6.928123393604947,0.00012130285714285718
229,0.1,0.6,18.0,6.988350151147116,9.346285714285723e-05
230,0.1,0.6,19.0,6.984134265720306,6.562285714285722e-05
231,0.1,0.6,20.0,6.917312589882889,3.778285714285722e-05
232,0.1,0.7000000000000001,1.0,0.13873413146874167,0.0005627657142857142
233,0.1,0.7000000000000001,2.0,0.44607674706124917,0.0005309485714285714
234,0.1,0.7000000000000001,3.0,0.8579017186680633,0.0004991314285714286
235,0.1,0.7000000000000001,4.0,1.335241251381908,0.0004673142857142857
236,0.1,0.7000000000000001,5.0,1.8487809171368184,0.00043549714285714286
237,0.1,0.7000000000000001,6.0,2.3751593482864575,0.00040367999999999996
238,0.1,0.7000000000000001,7.0,2.895345226157205,0.0003718628571428571
239,0.1,0.7000000000000001,8.0,3.3937416202056734,0.00034004571428571426
240,0.1,0.7000000000000001,9.0,3.8576196991049136,0.0003082285714285714
241,0.1,0.7000000000000001,10.0,4.276725942442782,0.00027641142857142857
242,0.1,0.7000000000000001,11.0,4.642990483386062,0.0002445942857142857
243,0.1,0.7000000000000001,12.0,4.950298821373352,0.00021277714285714282
244,0.1,0.7000000000000001,13.0,5.194305421960796,0.00018095999999999998
245,0.1,0.7000000000000001,14.0,5.372276125877218,0.00014914285714285713
246,0.1,0.7000000000000001,15.0,5.482950951535238,0.00011732571428571428
247,0.1,0.7000000000000001,16.0,5.526421610869684,8.550857142857143e-05
248,0.1,0.7000000000000001,17.0,5.504019735759034,5.369142857142859e-05
249,0.1,0.7000000000000001,18.0,5.418212875301418,2.187428571428574e-05
250,0.1,0.8,1.0,0.13761901182656833,0.0005587885714285714
251,0.1,0.8,2.0,0.4387503425182042,0.0005229942857142857
252,0.1,0.8,3.0,0.8362437325974224,0.00048719999999999997
253,0.1,0.8,4.0,1.289127541469801,0.0004514057142857142
254,0.1,0.8,5.0,1.7668172804007263,0.00041561142857142854
255,0.1,0.8,6.0,2.2452817337524427,0.00037981714285714285
256,0.1,0.8,7.0,2.705334744170791,0.0003440228571428571
257,0.1,0.8,8.0,3.131676816707561,0.0003082285714285714
258,0.1,0.8,9.0,3.5122784160251643,0.00027243428571428573
259,0.1,0.8,10.0,3.837944169395798,0.00023663999999999998
260,0.1,0.8,11.0,4.101982874040734,0.0002008457142857143
261,0.1,0.8,12.0,4.299943864631484,0.0001650514285714286
262,0.1,0.8,13.0,4.429397125898334,0.00012925714285714286
263,0.1,0.8,14.0,4.489743245629728,9.346285714285712e-05
264,0.1,0.8,15.0,4.48204413671291,5.766857142857143e-05
265,0.1,0.8,16.0,4.40886828253592,2.187428571428574e-05
266,0.1,0.9,1.0,0.1365764245054601,0.0005548114285714286
267,0.1,0.9,2.0,0.431719696506509,0.0005150399999999999
268,0.1,0.9,3.0,0.8153582906962147,0.0004752685714285714
269,0.1,0.9,4.0,1.2446849229363133,0.00043549714285714286
270,0.1,0.9,5.0,1.6880617015251556,0.00039572571428571427
271,0.1,0.9,6.0,2.1210432244501995,0.0003559542857142857
272,0.1,0.9,7.0,2.524575511349567,0.00031618285714285716
273,0.1,0.9,8.0,2.883967930204472,0.00027641142857142857
274,0.1,0.9,9.0,3.1882193956531855,0.00023663999999999998
275,0.1,0.9,10.0,3.429532877960901,0.00019686857142857145
276,0.1,0.9,11.0,3.6029402021804677,0.00015709714285714287
277,0.1,0.9,12.0,3.705995846112711,0.00011732571428571428
278,0.1,0.9,13.0,3.7385158243470316,7.755428571428575e-05
279,0.1,0.9,14.0,3.702346742184052,3.778285714285722e-05
280,0.1,1.0,1.0,0.13559132020325956,0.0005508342857142856
281,0.1,1.0,2.0,0.4249317030413424,0.0005070857142857142
282,0.1,1.0,3.0,0.7951324897032275,0.0004633371428571428
283,0.1,1.0,4.0,1.2017172589331864,0.0004195885714285714
284,0.1,1.0,5.0,1.6122074543413059,0.00037583999999999995
285,0.1,1.0,6.0,2.0019926757577884,0.0003320914285714285
286,0.1,1.0,7.0,2.35242854364803,0.0002883428571428571
287,0.1,1.0,8.0,2.649731291040119,0.00024459428571428567
288,0.1,1.0,9.0,2.8842393124035453,0.00020084571428571424
289,0.1,1.0,10.0,3.0498702497368066,0.0001570971428571428
290,0.1,1.0,11.0,3.143692443302253,0.00011334857142857138
291,0.1,1.0,12.0,3.1655673783130163,6.959999999999996e-05
292,0.1,1.0,13.0,3.117837658590142,2.5851428571428475e-05
293,0.1,1.1,1.0,0.13465297999044998,0.0005468571428571428
294,0.1,1.1,2.0,0.41834835546796856,0.0004991314285714286
295,0.1,1.1,3.0,0.7754849897227589,0.0004514057142857142
296,0.1,1.1,4.0,1.1600819256798756,0.00040367999999999996
297,0.1,1.1,5.0,1.5390286869302356,0.0003559542857142857
298,0.1,1.1,6.0,1.8877925385734369,0.00030822857142857136
299,0.1,1.1,7.0,2.188406420869955,0.0002605028571428571
300,0.1,1.1,8.0,2.428277736909764,0.00021277714285714282
301,0.1,1.1,9.0,2.599376704489392,0.00016505142857142855
302,0.1,1.1,10.0,2.697627059183967,0.00011732571428571428
303,0.1,1.1,11.0,2.7224144752383843,6.959999999999996e-05
304,0.1,1.2000000000000002,1.0,0.13375349770256661,0.0005428799999999999
305,0.1,1.2000000000000002,2.0,0.4119414814077053,0.0004911771428571428
306,0.1,1.2000000000000002,3.0,0.7563550651583362,0.00043947428571428565
307,0.1,1.2000000000000002,4.0,1.1196713441221828,0.00038777142857142853
308,0.1,1.2000000000000002,5.0,1.468352641527567,0.00033606857142857137
309,0.1,1.2000000000000002,6.0,1.7781799844622936,0.0002843657142857142
310,0.1,1.2000000000000002,7.0,2.032121515133994,0.0002326628571428571
311,0.1,1.2000000000000002,8.0,2.2190460887998618,0.00018095999999999992
312,0.1,1.2000000000000002,9.0,2.3328287328726574,0.00012925714285714275
313,0.1,1.2000000000000002,10.0,2.3716645478338254,7.755428571428564e-05
314,0.1,1.3000000000000003,1.0,0.13288687383665237,0.0005389028571428571
315,0.1,1.3000000000000003,2.0,0.4056895928234235,0.0004832228571428571
316,0.1,1.3000000000000003,3.0,0.7376960405277964,0.00042754285714285706
317,0.1,1.3000000000000003,4.0,1.080401883943734,0.00037186285714285706
318,0.1,1.3000000000000003,5.0,1.4000429263049887,0.0003161828571428571
319,0.1,1.3000000000000003,6.0,1.6729434396776781,0.0002605028571428571
320,0.1,1.3000000000000003,7.0,1.8832546538859014,0.00020482285714285708
321,0.1,1.3000000000000003,8.0,2.0215627484549956,0.00014914285714285707
322,0.1,1.3000000000000003,9.0,2.083900397705506,9.346285714285712e-05
323,0.1,1.3000000000000003,10.0,2.0709717110648023,3.778285714285711e-05
324,0.1,1.4000000000000001,1.0,0.1320484472525069,0.0005349257142857142
325,0.1,1.4000000000000001,2.0,0.3995759064118337,0.0004752685714285714
326,0.1,1.4000000000000001,3.0,0.719471156524005,0.00041561142857142854
327,0.1,1.4000000000000001,4.0,1.0422068604823664,0.0003559542857142857
328,0.1,1.4000000000000001,5.0,1.3339889333178447,0.0002962971428571428
329,0.1,1.4000000000000001,6.0,1.5719077030118325,0.00023663999999999993
330,0.1,1.4000000000000001,7.0,1.741535185135424,0.00017698285714285708
331,0.1,1.4000000000000001,8.0,1.8354158922501496,0.00011732571428571423
332,0.1,1.4000000000000001,9.0,1.8519719076885526,5.766857142857132e-05
333,0.1,1.5000000000000002,1.0,0.1312345240078433,0.0005309485714285714
334,0.1,1.5000000000000002,2.0,0.39358704807409195,0.00046731428571428565
335,0.1,1.5000000000000002,3.0,0.7016508589515985,0.0004036799999999999
336,0.1,1.5000000000000002,4.0,1.0050319320261554,0.0003400457142857142
337,0.1,1.5000000000000002,5.0,1.270098867149872,0.0002764114285714285
338,0.1,1.5000000000000002,6.0,1.4749241148544707,0.00021277714285714277
339,0.1,1.5000000000000002,7.0,1.6067277627163579,0.00014914285714285702
340,0.1,1.5000000000000002,8.0,1.6602382771793511,8.550857142857133e-05
341,0.1,1.6,1.0,0.13044212657509252,0.0005269714285714286
342,0.1,1.6,2.0,0.38771217580038847,0.00045935999999999997
343,0.1,1.6,3.0,0.6842109593989011,0.0003917485714285714
344,0.1,1.6,4.0,0.9688319701933336,0.00032413714285714284
345,0.1,1.6,5.0,1.208294993142159,0.0002565257142857143
346,0.1,1.6,6.0,1.3818638363967146,0.00018891428571428571
347,0.1,1.6,7.0,1.4786232748339083,0.00012130285714285712
348,0.1,1.6,8.0,1.4956953596637728,5.369142857142859e-05
349,0.1,1.7000000000000002,1.0,0.1296688194316445,0.0005229942857142857
350,0.1,1.7000000000000002,2.0,0.3819423684362863,0.0004514057142857142
351,0.1,1.7000000000000002,3.0,0.6671313507699717,0.0003798171428571428
352,0.1,1.7000000000000002,4.0,0.9335688695058761,0.00030822857142857136
353,0.1,1.7000000000000002,5.0,1.1485103031265818,0.00023663999999999993
354,0.1,1.7000000000000002,6.0,1.2926131181487892,0.0001650514285714285
355,0.1,1.7000000000000002,7.0,1.3570324255632864,9.346285714285701e-05
356,0.1,1.8000000000000003,1.0,0.12891258470949682,0.0005190171428571428
357,0.1,1.8000000000000003,2.0,0.37627018900372755,0.00044345142857142854
358,0.1,1.8000000000000003,3.0,0.650395087690604,0.0003678857142857142
359,0.1,1.8000000000000003,4.0,0.899209975608264,0.00029231999999999994
360,0.1,1.8000000000000003,5.0,1.0906861164018937,0.00021675428571428566
361,0.1,1.8000000000000003,6.0,1.2070698828312314,0.00014118857142857134
362,0.1,1.8000000000000003,7.0,1.2417810702399963,6.562285714285711e-05
363,0.1,1.9000000000000001,1.0,0.12817173159463657,0.0005150399999999999
364,0.1,1.9000000000000001,2.0,0.37068936589528584,0.00043549714285714286
365,0.1,1.9000000000000001,3.0,0.633987713713148,0.0003559542857142857
366,0.1,1.9000000000000001,4.0,0.8657269326335355,0.00027641142857142857
367,0.1,1.9000000000000001,5.0,1.0347703153760333,0.00019686857142857145
368,0.1,1.9000000000000001,6.0,1.1251412013110336,0.00011732571428571428
369,0.1,2.0,1.0,0.12744482904739873,0.0005110628571428571
370,0.1,2.0,2.0,0.3651945556497243,0.0004275428571428571
371,0.1,2.0,3.0,0.6178967596154109,0.00034402285714285716
372,0.1,2.0,4.0,0.833094821627696,0.00026050285714285715
373,0.1,2.0,5.0,0.9807160226055341,0.00017698285714285713
374,0.1,2.0,6.0,1.046741390219089,9.346285714285723e-05
375,0.1,2.1,1.0,0.12673065499099478,0.0005070857142857142
376,0.1,2.1,2.0,0.35978116342919725,0.0004195885714285714
377,0.1,2.1,3.0,0.6021113629125552,0.0003320914285714285
378,0.1,2.1,4.0,0.8012915055173108,0.00024459428571428567
379,0.1,2.1,5.0,0.9284805915205754,0.0001570971428571428
380,0.1,2.1,6.0,0.9717905516074945,6.959999999999996e-05
381,0.1,2.2,1.0,0.12602815735533307,0.0005031085714285714
382,0.1,2.2,2.0,0.35444520510228616,0.0004116342857142857
383,0.1,2.2,3.0,0.5866219749141022,0.00032015999999999994
384,0.1,2.2,4.0,0.7702971234952072,0.00022868571428571425
385,0.1,2.2,5.0,0.8780248243822274,0.00013721142857142855
386,0.1,2.3000000000000003,1.0,0.12533642380369506,0.0004991314285714286
387,0.1,2.3000000000000003,2.0,0.34918319984839435,0.00040367999999999996
388,0.1,2.3000000000000003,3.0,0.5714201321086414,0.00030822857142857136
389,0.1,2.3000000000000003,4.0,0.7400936953749689,0.00021277714285714282
390,0.1,2.3000000000000003,5.0,0.829312357675009,0.00011732571428571428
391,0.1,2.4000000000000004,1.0,0.12465465791812602,0.0004951542857142856
392,0.1,2.4000000000000004,2.0,0.3439920855019607,0.0003957257142857142
393,0.1,2.4000000000000004,3.0,0.5564982755547525,0.0002962971428571428
394,0.1,2.4000000000000004,4.0,0.7106648081423429,0.00019686857142857134
395,0.1,2.4000000000000004,5.0,0.7823091727687351,9.743999999999985e-05
396,0.1,2.5000000000000004,1.0,0.12398216025697466,0.0004911771428571428
397,0.1,2.5000000000000004,2.0,0.33886915107818577,0.00038777142857142853
398,0.1,2.5000000000000004,3.0,0.5418496066037541,0.0002843657142857142
399,0.1,2.5000000000000004,4.0,0.6819953648104176,0.00018095999999999992
400,0.1,2.5000000000000004,5.0,0.7369832015923709,7.755428571428564e-05
401,0.1,2.6,1.0,0.12331831313490936,0.00048719999999999997
402,0.1,2.6,2.0,0.33381198244716914,0.00037981714285714285
403,0.1,2.6,3.0,0.5274679704717178,0.0002724342857142857
404,0.1,2.6,4.0,0.654071381103214,0.00016505142857142855
405,0.1,2.6,5.0,0.6933040052602341,5.766857142857143e-05
406,0.1,2.7,1.0,0.12266256828033298,0.0004832228571428571
407,0.1,2.7,2.0,0.32881841818791196,0.0003718628571428571
408,0.1,2.7,3.0,0.5133477614085601,0.00026050285714285715
