,L,L_str,R,R_str,V(out),W
0,0.1,0.1u,1.0,1.0,0.02108583,-0.00030910576
1,0.1,0.1u,1.4384498882876628,1.4384498882876628,0.019585943,-0.00037812805
2,0.1,0.1u,2.0691380811147897,2.0691380811147897,0.019476563,-0.0003078966
3,0.1,0.1u,2.976351441631318,2.976351441631318,0.01885677,-0.00025668103
4,0.1,0.1u,4.281332398719393,4.281332398719393,0.017617526,-0.000112615846
5,0.1,0.1u,6.158482110660264,6.158482110660264,0.01432739,-0.00017776949
6,0.1,0.1u,8.858667904100825,8.858667904100825,0.011941666,-3.4118595e-05
7,0.1,0.1u,12.742749857031335,12.742749857031335,0.0084870625,0.00029683416
8,0.1,0.1u,18.329807108324356,18.329807108324356,0.0062573613,0.0004086955
9,0.1,0.1u,26.366508987303583,26.366508987303583,0.004177876,0.0004383334
10,0.1,0.1u,37.926901907322495,37.926901907322495,0.003200157,0.0006688033
11,0.1,0.1u,54.55594781168517,54.55594781168517,0.002112564,0.00073030393
12,0.1,0.1u,78.47599703514611,78.47599703514611,0.0015939655,0.00063331774
13,0.1,0.1u,112.88378916846884,112.88378916846884,0.0012423408,0.0005381171
14,0.1,0.1u,162.3776739188721,162.3776739188721,0.0010357264,0.0005412777
15,0.1,0.1u,233.57214690901213,233.57214690901213,0.00086605817,0.000500381
16,0.1,0.1u,335.9818286283781,335.9818286283781,0.00059975055,0.00040778986
17,0.1,0.1u,483.2930238571752,483.2930238571752,0.00026673294,0.00032142657
18,0.1,0.1u,695.1927961775606,695.1927961775606,0.00026912734,0.0002525752
19,0.1,0.1u,1000.0,1000.0,0.0003087974,0.00021011179
20,0.16237767391887217,0.16237767391887217u,1.0,1.0,0.021494117,-0.00013608756
21,0.16237767391887217,0.16237767391887217u,1.4384498882876628,1.4384498882876628,0.020611912,-0.000169112
22,0.16237767391887217,0.16237767391887217u,2.0691380811147897,2.0691380811147897,0.020806093,-0.00015222706
23,0.16237767391887217,0.16237767391887217u,2.976351441631318,2.976351441631318,0.02010835,-8.917743e-05
24,0.16237767391887217,0.16237767391887217u,4.281332398719393,4.281332398719393,0.01895539,-8.058315e-05
25,0.16237767391887217,0.16237767391887217u,6.158482110660264,6.158482110660264,0.017844751,1.3468855e-05
26,0.16237767391887217,0.16237767391887217u,8.858667904100825,8.858667904100825,0.015954133,1.0252247e-06
27,0.16237767391887217,0.16237767391887217u,12.742749857031335,12.742749857031335,0.012228996,0.00012957056
28,0.16237767391887217,0.16237767391887217u,18.329807108324356,18.329807108324356,0.009247071,0.00035607323
29,0.16237767391887217,0.16237767391887217u,26.366508987303583,26.366508987303583,0.0069926293,0.00044811267
30,0.16237767391887217,0.16237767391887217u,37.926901907322495,37.926901907322495,0.0039084572,0.0005778999
31,0.16237767391887217,0.16237767391887217u,54.55594781168517,54.55594781168517,0.003069168,0.0005742377
32,0.16237767391887217,0.16237767391887217u,78.47599703514611,78.47599703514611,0.0024797337,0.00066155195
33,0.16237767391887217,0.16237767391887217u,112.88378916846884,112.88378916846884,0.0016551394,0.00058250903
34,0.16237767391887217,0.16237767391887217u,162.3776739188721,162.3776739188721,0.0013290014,0.0005522036
35,0.16237767391887217,0.16237767391887217u,233.57214690901213,233.57214690901213,0.001090398,0.00048222928
36,0.16237767391887217,0.16237767391887217u,335.9818286283781,335.9818286283781,0.0010736141,0.00041313178
37,0.16237767391887217,0.16237767391887217u,483.2930238571752,483.2930238571752,0.0009316961,0.00033371637
38,0.16237767391887217,0.16237767391887217u,695.1927961775606,695.1927961775606,0.00035397094,0.00025497496
39,0.16237767391887217,0.16237767391887217u,1000.0,1000.0,0.00035683688,0.00020342367
40,0.26366508987303583,0.26366508987303583u,1.0,1.0,0.020703819,5.450681e-05
41,0.26366508987303583,0.26366508987303583u,1.4384498882876628,1.4384498882876628,0.01652183,3.218867e-06
42,0.26366508987303583,0.26366508987303583u,2.0691380811147897,2.0691380811147897,0.02003965,6.3380285e-05
43,0.26366508987303583,0.26366508987303583u,2.976351441631318,2.976351441631318,0.01775515,4.437597e-05
44,0.26366508987303583,0.26366508987303583u,4.281332398719393,4.281332398719393,0.016860226,9.3480194e-05
45,0.26366508987303583,0.26366508987303583u,6.158482110660264,6.158482110660264,0.018863346,0.00021481811
