,$L(\mu H)$,L_str,$R(\Omega)$,R_str,$C(\mu F)$,C_str,V(out),W
0,0.0426494232775542,0.0426494232775542u,1.0,1.0,14.84797094777797,14.84797094777797u,0.018721303,0.019998696
1,0.0426494232775542,0.0426494232775542u,1.4384498882876628,1.4384498882876628,14.84797094777797,14.84797094777797u,0.013591311,0.016392715
2,0.0426494232775542,0.0426494232775542u,2.0691380811147897,2.0691380811147897,14.84797094777797,14.84797094777797u,0.022954384,0.012959671
3,0.0426494232775542,0.0426494232775542u,2.976351441631318,2.976351441631318,14.84797094777797,14.84797094777797u,0.034724522,0.009713403
4,0.0426494232775542,0.0426494232775542u,4.281332398719393,4.281332398719393,14.84797094777797,14.84797094777797u,0.024804264,0.007480477
5,0.0426494232775542,0.0426494232775542u,6.158482110660264,6.158482110660264,14.84797094777797,14.84797094777797u,0.013263994,0.005740053
6,0.0426494232775542,0.0426494232775542u,8.858667904100825,8.858667904100825,14.84797094777797,14.84797094777797u,0.011069344,0.0045758598
7,0.0426494232775542,0.0426494232775542u,12.742749857031335,12.742749857031335,14.84797094777797,14.84797094777797u,0.009372393,0.0034308601
8,0.0426494232775542,0.0426494232775542u,18.329807108324356,18.329807108324356,14.84797094777797,14.84797094777797u,0.006526869,0.0027151129
9,0.0426494232775542,0.0426494232775542u,26.366508987303583,26.366508987303583,14.84797094777797,14.84797094777797u,0.0042010266,0.0021454184
10,0.0426494232775542,0.0426494232775542u,37.926901907322495,37.926901907322495,14.84797094777797,14.84797094777797u,0.0029854379,0.0016746972
11,0.0426494232775542,0.0426494232775542u,54.55594781168517,54.55594781168517,14.84797094777797,14.84797094777797u,0.0027460654,0.0013135158
12,0.0426494232775542,0.0426494232775542u,78.47599703514611,78.47599703514611,14.84797094777797,14.84797094777797u,0.0020480654,0.0010571039
13,0.0426494232775542,0.0426494232775542u,112.88378916846884,112.88378916846884,14.84797094777797,14.84797094777797u,0.0012741508,0.0008342797
14,0.0426494232775542,0.0426494232775542u,162.3776739188721,162.3776739188721,14.84797094777797,14.84797094777797u,0.00093602354,0.00065425294
15,0.0426494232775542,0.0426494232775542u,233.57214690901213,233.57214690901213,14.84797094777797,14.84797094777797u,0.00063826924,0.0004982291
16,0.0426494232775542,0.0426494232775542u,335.9818286283781,335.9818286283781,14.84797094777797,14.84797094777797u,0.0004921075,0.00040775922
17,0.0426494232775542,0.0426494232775542u,483.2930238571752,483.2930238571752,14.84797094777797,14.84797094777797u,0.00030991927,0.00030197535
18,0.0426494232775542,0.0426494232775542u,695.1927961775606,695.1927961775606,14.84797094777797,14.84797094777797u,0.00025310274,0.00023300426
19,0.0426494232775542,0.0426494232775542u,1000.0,1000.0,14.84797094777797,14.84797094777797u,0.00018134978,0.00017945554
20,0.0460113667748798,0.0460113667748798u,1.0,1.0,13.763064263292902,13.763064263292902u,0.09116281,0.020682044
21,0.0460113667748798,0.0460113667748798u,1.4384498882876628,1.4384498882876628,13.763064263292902,13.763064263292902u,0.014835542,0.01681175
22,0.0460113667748798,0.0460113667748798u,2.0691380811147897,2.0691380811147897,13.763064263292902,13.763064263292902u,0.050343912,0.01275697
23,0.0460113667748798,0.0460113667748798u,2.976351441631318,2.976351441631318,13.763064263292902,13.763064263292902u,0.025418447,0.010003219
24,0.0460113667748798,0.0460113667748798u,4.281332398719393,4.281332398719393,13.763064263292902,13.763064263292902u,0.026854986,0.007653231
25,0.0460113667748798,0.0460113667748798u,6.158482110660264,6.158482110660264,13.763064263292902,13.763064263292902u,0.019883938,0.0057793283
26,0.0460113667748798,0.0460113667748798u,8.858667904100825,8.858667904100825,13.763064263292902,13.763064263292902u,0.014259348,0.0046112165
27,0.0460113667748798,0.0460113667748798u,12.742749857031335,12.742749857031335,13.763064263292902,13.763064263292902u,0.0102029415,0.003476592
28,0.0460113667748798,0.0460113667748798u,18.329807108324356,18.329807108324356,13.763064263292902,13.763064263292902u,0.006013214,0.0026281367
29,0.0460113667748798,0.0460113667748798u,26.366508987303583,26.366508987303583,13.763064263292902,13.763064263292902u,0.004456289,0.0021124396
30,0.0460113667748798,0.0460113667748798u,37.926901907322495,37.926901907322495,13.763064263292902,13.763064263292902u,0.003944648,0.0016714887
31,0.0460113667748798,0.0460113667748798u,54.55594781168517,54.55594781168517,13.763064263292902,13.763064263292902u,0.002928658,0.0013037989
32,0.0460113667748798,0.0460113667748798u,78.47599703514611,78.47599703514611,13.763064263292902,13.763064263292902u,0.0021822047,0.0010532547
33,0.0460113667748798,0.0460113667748798u,112.88378916846884,112.88378916846884,13.763064263292902,13.763064263292902u,0.001337065,0.00084431533
34,0.0460113667748798,0.0460113667748798u,162.3776739188721,162.3776739188721,13.763064263292902,13.763064263292902u,0.000889515,0.0006707783
35,0.0460113667748798,0.0460113667748798u,233.57214690901213,233.57214690901213,13.763064263292902,13.763064263292902u,0.0005873413,0.00049934356
36,0.0460113667748798,0.0460113667748798u,335.9818286283781,335.9818286283781,13.763064263292902,13.763064263292902u,0.000531771,0.00039828304
37,0.0460113667748798,0.0460113667748798u,483.2930238571752,483.2930238571752,13.763064263292902,13.763064263292902u,0.00035327784,0.0003000336
38,0.0460113667748798,0.0460113667748798u,695.1927961775606,695.1927961775606,13.763064263292902,13.763064263292902u,0.00026663818,0.0002352757
39,0.0460113667748798,0.0460113667748798u,1000.0,1000.0,13.763064263292902,13.763064263292902u,0.00014647713,0.00017782972
40,0.0480138064389781,0.0480138064389781u,1.0,1.0,13.189068826889033,13.189068826889033u,-0.025310714,0.020267649
